date;time;ID;X;Y
20/11/2021;07:14;2012-87761;167.68;-47.223
20/11/2021;08:53;2012-87761;167.567;-47.223
20/11/2021;09:37;2012-87761;167.423;-47.353
20/11/2021;13:48;2012-87761;167.459;-47.501
20/11/2021;14:30;2012-87761;167.457;-47.556
20/11/2021;15:59;2012-87761;167.434;-47.659
20/11/2021;19:31;2012-87761;167.46;-47.882
20/11/2021;20:18;2012-87761;167.556;-47.765
21/11/2021;02:07;2012-87761;167.707;-47.999
21/11/2021;03:49;2012-87761;167.766;-48.074
21/11/2021;07:32;2012-87761;167.886;-48.234
21/11/2021;08:31;2012-87761;167.926;-48.297
21/11/2021;09:30;2012-87761;167.949;-48.343
21/11/2021;13:34;2012-87761;168.067;-48.719
21/11/2021;14:21;2012-87761;167.996;-48.443
21/11/2021;15:17;2012-87761;168.006;-48.475
21/11/2021;15:42;2012-87761;168.005;-48.479
21/11/2021;16:01;2012-87761;168;-48.485
21/11/2021;19:53;2012-87761;168.153;-48.574
21/11/2021;20:11;2012-87761;168.124;-48.607
21/11/2021;20:58;2012-87761;168.138;-48.61
21/11/2021;21:47;2012-87761;168.148;-48.617
22/11/2021;02:00;2012-87761;168.228;-48.677
22/11/2021;03:40;2012-87761;168.259;-48.755
22/11/2021;07:14;2012-87761;168.453;-48.849
22/11/2021;08:07;2012-87761;168.516;-48.873
22/11/2021;09:17;2012-87761;168.567;-48.904
22/11/2021;09:49;2012-87761;168.497;-48.938
22/11/2021;10:01;2012-87761;168.575;-48.975
22/11/2021;13:28;2012-87761;168.972;-49.161
22/11/2021;14:13;2012-87761;168.851;-49.135
22/11/2021;15:45;2012-87761;168.993;-49.214
22/11/2021;19:07;2012-87761;169.043;-49.322
22/11/2021;19:33;2012-87761;169.178;-49.306
22/11/2021;19:52;2012-87761;169.024;-49.327
22/11/2021;20:42;2012-87761;169.035;-49.436
22/11/2021;21:12;2012-87761;169.06;-49.47
23/11/2021;01:50;2012-87761;169.261;-49.768
23/11/2021;03:26;2012-87761;169.258;-49.678
23/11/2021;09:00;2012-87761;169.579;-49.92
23/11/2021;13:14;2012-87761;169.775;-50.005
23/11/2021;13:57;2012-87761;169.769;-50.015
23/11/2021;14:59;2012-87761;169.858;-50.043
23/11/2021;21:07;2012-87761;170.194;-50.192
24/11/2021;01:37;2012-87761;170.684;-50.437
24/11/2021;03:19;2012-87761;170.807;-50.499
24/11/2021;07:14;2012-87761;170.971;-50.686
24/11/2021;08:58;2012-87761;170.75;-50.563
24/11/2021;09:21;2012-87761;170.689;-50.7
24/11/2021;13:13;2012-87761;170.848;-50.868
24/11/2021;13:49;2012-87761;170.844;-50.91
24/11/2021;14:26;2012-87761;170.631;-50.766
24/11/2021;14:46;2012-87761;170.621;-50.81
24/11/2021;15:27;2012-87761;170.622;-50.79
24/11/2021;16:03;2012-87761;170.626;-50.793
24/11/2021;19:12;2012-87761;170.738;-50.922
24/11/2021;20:43;2012-87761;170.848;-50.936
24/11/2021;22:03;2012-87761;170.893;-50.958
25/11/2021;03:48;2012-87761;171.058;-51.07
25/11/2021;08:36;2012-87761;171.198;-51.122
25/11/2021;08:36;2012-87761;171.137;-51.121
25/11/2021;14:04;2012-87761;171.31;-51.212
25/11/2021;15:42;2012-87761;171.805;-51.379
25/11/2021;20:00;2012-87761;172.004;-51.475
25/11/2021;20:03;2012-87761;172.008;-51.482
25/11/2021;20:30;2012-87761;172.03;-51.5
25/11/2021;21:47;2012-87761;172.11;-51.551
26/11/2021;02:54;2012-87761;172.397;-51.695
26/11/2021;08:11;2012-87761;172.313;-51.766
26/11/2021;08:23;2012-87761;172.543;-51.736
